Satellite Date/Time UTC,Solar Panel Voltage X mV,Solar Panel Voltage Y mV,Solar Panel Voltage Z mV,Total Photo Current mA,Battery Voltage mV,Total System Current mA,Boost Converter Temp 1 C,Boost Converter Temp 2 C,Boost Converter Temp 3 C,Battery Temp C,Sun Sensor X+,Sun Sensor Y+,Sun Sensor Z+,Solar Panel Temp X+ C,Solar Panel Temp X- C,Solar Panel Temp Y+ C,Solar Panel Temp Y- C,3.3 Bus Voltage mV,3.3 Bus Current mA,5.0 Bus Voltage mV,RF Temperature C,Receive Current mA,RF Current 3.3V Bus mA,RF Current 5.0V Bus mA,PA Device Temperature C,PA Bus Current mA,Antenna Temp 0 C,Antenna Temp 1 C
2019-03-21 17:47:36.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:41.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:46.0,4421,4399,4337,158,8292,141,22,22,22,22,3.89,0.54,3.86,20.59,22.58,21.43,21.09,3276.00,141.00,4956.00,25.70,41,58,29,34.9,38.8,15.3,14.1
2019-03-21 17:47:51.0,4505,4483,4242,158,8282,151,22,22,22,22,4.42,4.41,0.00,21.42,21.75,20.39,21.72,3276.00,134.00,4956.00,24.84,41,59,29,34.9,41.6,15.3,14.1
2019-03-21 17:47:56.0,4427,4455,4242,148,8282,151,22,22,22,22,3.60,4.41,0.00,22.04,21.54,20.81,21.51,3276.00,142.00,4956.00,25.70,41,58,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:01.0,4471,4460,4130,156,8282,146,22,22,22,22,1.08,4.41,0.00,21.84,21.12,21.22,20.89,3280.00,134.00,4956.00,24.84,41,59,29,34.9,41.0,15.3,14.1
2019-03-21 17:48:06.0,4471,4460,4130,156,8282,146,22,22,22,22,1.08,4.41,0.00,21.84,21.12,21.22,20.89,3280.00,134.00,4956.00,24.84,41,59,29,34.9,41.0,15.3,14.1
2019-03-21 17:48:11.0,4471,4460,4130,156,8282,146,22,22,22,22,1.08,4.41,0.00,21.84,21.12,21.22,20.89,3280.00,134.00,4956.00,24.84,41,59,29,34.9,41.0,15.3,14.1
2019-03-21 17:48:16.0,4650,4248,4628,154,8282,151,22,22,22,22,1.62,0.00,4.35,20.80,22.17,22.06,20.26,3280.00,134.00,4956.00,24.84,41,59,29,34.9,38.3,15.3,14.1
2019-03-21 17:48:21.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:26.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:31.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:36.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:41.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:46.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:51.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:48:56.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:01.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:06.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:11.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:16.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:21.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:26.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:31.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:36.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:41.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:46.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:51.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:49:56.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:01.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:06.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:11.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:16.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:21.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:26.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:31.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:36.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
